UNI_ID,UNI_CAMPUS_ID,UNIVERSITY_NAME,UNIVERSITY_CAMPUS_NAME,ADDRESS,STREET,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,GEO_DATA
1,1,University of Sydney,University of Sydney - Main campus (Camperdown),"Camperdown, Sydney 2006",Camperdown,Sydney,NSW,2006,-33.886692,151.189798,0xE6100000010C7DAEB6627FF140C0AE47E17A14E66240
1,2,University of Sydney,University of Sydney - Cumberland campus,"75 East Street, Lidcome NSW 2141",75 East Street,Lidcome,NSW,2141,-33.881335,151.04962,0xE6100000010C7FFB3A70CEF040C09A99999999E16240
1,3,University of Sydney,University of Sydney - Mallet Street campus,"Level 4, 88 Mallet Street, Camperdown NSW 2050","Level 4, 88 Mallet Street",Camperdown,NSW,2050,-33.888942,151.178208,0xE6100000010C0BB5A679C7F140C004560E2DB2E56240
1,4,University of Sydney,University of Sydney - Camden Campus,"425 Werombi Road, Camden NSW 2570",425 Werombi Road,Camden,NSW,2570,-34.027664,150.6585,0xE6100000010CB30C71AC8B0341C00C022B8716D56240
1,5,University of Sydney,University of Sydney - Rozelle campus (Sydney College of the Arts),"Balmain Road, Rozelle NSW 2039",Balmain Road,Rozelle,NSW,2039,-33.866745,151.16554,0xE6100000010CBBB88D06F0EE40C05A643BDF4FE56240
1,6,University of Sydney,University of Sydney - Conservatorium of Music,"Cnr of Bridge & Macquarie Street, Sydney NSW 2000",Cnr of Bridge & Macquarie Street,Sydney,NSW,2000,-33.863528,151.214179,0xE6100000010C4A0C022B87EE40C0022B8716D9E66240
1,7,University of Sydney,University of Sydney - Surry Hills campus,"Level 6, 2 - 18 Chalmers St, Surry Hills NSW 2010","Level 6, 2 - 18 Chalmers St",Surry Hills,NSW,2010,-33.884445,151.207813,0xE6100000010C8C4AEA0434F140C02DB29DEFA7E66240
1,8,University of Sydney,University of Sydney - Burren Street campus,"144 Burren Street, Newtown NSW 2042",144 Burren Street,Newtown,NSW,2042,-33.895727,151.184968,0xE6100000010C7B832F4CA6F240C052B81E85EBE56240
1,9,University of Sydney,University of Sydney - St James campus,"173-175 Phillip Street, Sydney NSW 2000",173-175 Phillip Street,Sydney,NSW,2000,-33.868947,151.210628,0xE6100000010C48BF7D1D38EF40C0986E1283C0E66240
2,1,University of Newcastle,University of Newcastle - Main campus (Callaghan),"University Drive, Callaghan NSW 2308",University Drive,Callaghan,NSW,2308,-32.896641,151.697491,0xE6100000010CFBCBEEC9C37240C0FCA9F1D24DF66240
2,2,University of Newcastle,University of Newcastle - Central Coast campus,"10 Chittaway Road, Ourimbah NSW 2258",10 Chittaway Road,Ourimbah,NSW,2258,-33.356951,151.377495,0xE6100000010C04560E2DB2AD40C0F2D24D6210EC6240
2,3,University of Newcastle,University of Newcastle -  Port Macquarie campus,"Widderson Street, Port Macquarie NSW 2444",Widderson Street,Port Macquarie,NSW,2444,-31.439874,152.891,0xE6100000010CAA8251499D703FC08D976E12831C6340
2,4,University of Newcastle,University of Newcastle - Sydney Business School,"60 Bathurst Street, Sydney NSW 2000",60 Bathurst Street,Sydney,NSW,2000,-33.87375,151.204219,0xE6100000010C569FABADD8EF40C04A0C022B87E66240
3,1,University of New England,University of New England - Main campus (Armidale),Armidale NSW 2351,NULL,Armidale,NSW,2351,-30.486582,151.64546,0xE6100000010CCD3B4ED1917C3EC0713D0AD7A3F46240
4,1,Southern Cross University,Southern Cross University - Main campus (Lismore),"Military Road, East Lismore NSW 2480",Military Road,East Lismore,NSW,2480,-28.818608,153.299906,0xE6100000010C6F8104C58FD13CC09A99999999296340
4,2,Southern Cross University,Southern Cross University - Tweed Heads/Gold Coast campus,"Southern Cross Drive, Bilinga QLD 4225",Southern Cross Drive,Bilinga,QLD,4225,-28.168158,153.518239,0xE6100000010CEC2FBB270F2B3CC07F6ABC7493306340
4,3,Southern Cross University,Southern Cross University - Coffs Harbour Education Campus,"Hogbin Drive, Coffs Harbour NSW 2450",Hogbin Drive,Coffs Harbour,NSW,2450,-30.326472,153.101846,0xE6100000010CDD24068195533EC02506819543236340
4,4,Southern Cross University,Southern Cross University - Sydney Hotel School,"117 Macquarie Street, Sydney NSW 2000",117 Macquarie Street,Sydney,NSW,2000,-33.862936,151.212392,0xE6100000010CF5DBD78173EE40C0105839B4C8E66240
5,1,Macquarie University,Macquarie University - Main campus (North Ryde),"Balaclava Road, North Ryde NSW 2109",Balaclava Road,North Ryde,NSW,2109,-33.776153,151.114921,0xE6100000010CDE9387855AE340C048E17A14AEE36240
5,2,Macquarie University,Macquarie University - Sydney CBD campus (Wynyard),"Level 2, 11 York Street, Wynyard NSW 2000","Level 2, 11 York Street",Wynyard,NSW,2000,-33.865411,151.205375,0xE6100000010CADFA5C6DC5EE40C0C3F5285C8FE66240
6,1,University of Technology Sydney,"University of Technology, Sydney - Main campus (Ultimo)","15 Broadway, Ultimo, NSW 2007",15 Broadway,Ultimo,NSW,2007,-33.883779,151.201024,0xE6100000010C371AC05B20F140C0DF4F8D976EE66240
6,2,University of Technology Sydney,"University of Technology, Sydney - Kuring-gai campus","101 Eton Road, Lindfield NSW 2070",101 Eton Road,Lindfield,NSW,2070,-33.788408,151.160871,0xE6100000010C4D158C4AEAE440C0FED478E926E56240
7,1,University of NSW,University of NSW - Main campus (Kensington),"University of New South Wales, Anzac Pde, Sydney NSW 2052","University of New South Wales, Anzac Pde",Sydney,NSW,2052,-33.917234,151.231369,0xE6100000010C13F241CF66F540C008AC1C5A64E76240
7,2,University of NSW,University of NSW - COFA (College of Fine Arts),"Cnr Oxford St & Greens Rd, Paddington NSW 2021",Cnr Oxford St & Greens Rd,Paddington,NSW,2021,-33.883611,151.220589,0xE6100000010C705F07CE19F140C0508D976E12E76240
7,3,University of NSW,University of NSW - ADFA (Australian Defence Force Academy),"Northcott Drive, Canberra ACT 2600",Northcott Drive,Canberra,ACT,2600,-35.293227,149.165831,0xE6100000010CF697DD9387A541C05A643BDF4FA56240
7,4,University of NSW,University of NSW - Randwick campus,"2/30 King St, Randwick NSW 2031",2/30 King St,Randwick,NSW,2031,-33.906738,151.234855,0xE6100000010C40A4DFBE0EF440C0EC51B81E85E76240
7,5,University of NSW,University of NSW - Cliffbrook (Coogee) campus,"45 Beach Street, Cliffbrook NSW 2034",45 Beach Street,Cliffbrook,NSW,2034,-33.914053,151.260503,0xE6100000010C05A3923A01F540C03108AC1C5AE86240
7,6,University of NSW,University of NSW - David Phillips Field (Daceyville) campus,"Cnr Gwea and Banks Avenue, Daceyville NSW 2032",Cnr Gwea and Banks Avenue,Daceyville,NSW,2032,-33.931594,151.224558,0xE6100000010C107A36AB3EF740C03333333333E76240
7,7,University of NSW,University of NSW - Manly Vale campus,"110 King Street, Manly Vale NSW 2093",110 King Street,Manly Vale,NSW,2093,-33.78149,151.257369,0xE6100000010C79E9263108E440C04E62105839E86240
7,8,University of NSW,University of New South Wales - Australian Graduate School of Management (AGSM) - City campus,"Level 6, 1 O'Connell Street, Sydney NSW 2000","Level 6, 1 O'Connell Street",Sydney,NSW,2000,-33.864497,151.209944,0xE6100000010C2DB29DEFA7EE40C01F85EB51B8E66240
8,1,Charles Sturt University,Charles Sturt University - Albury-Wodonga campus,"Elizabeth Mitchell Drive, Thurgoona NSW NSW 2640",Elizabeth Mitchell Drive,Thurgoona,NSW,2640,-36.076561,146.920404,0xE6100000010CD26F5F07CE0942C03D0AD7A3705D6240
8,2,Charles Sturt University,Charles Sturt University - Bathurst campus,"Panorama Ave, Bathurst NSW 2795",Panorama Ave,Bathurst,NSW,2795,-33.428912,149.565925,0xE6100000010C90A0F831E6B640C0273108AC1CB26240
8,3,Charles Sturt University,Charles Sturt University - Dubbo campus,"Tony McGrane Place, Dubbo NSW 2830",Tony McGrane Place,Dubbo,NSW,2830,-32.236261,148.629283,0xE6100000010CBC0512143F1E40C0E3A59BC420946240
8,4,Charles Sturt University,Charles Sturt University - Orange campus,"Leeds parade, Orange NSW 2800",Leeds parade,Orange,NSW,2800,-33.260483,149.110801,0xE6100000010CD34D621058A140C0643BDF4F8DA36240
8,5,Charles Sturt University,Charles Sturt University - Wagga Wagga campus,"Boorooma St, Wagga Wagga NSW 2678",Boorooma St,Wagga Wagga,NSW,2678,-35.056913,147.351095,0xE6100000010C3A92CB7F488741C0AC1C5A643B6B6240
8,6,Charles Sturt University,Charles Sturt University - Canberra campus (School of Theology),"St Mark's National Theological Centre, 15 Blackall Street Barton ACT 2600","St Mark's National Theological Centre, 15 Blackall Street",Barton,ACT,2600,-35.305282,149.137431,0xE6100000010C02BC051214A741C0AAF1D24D62A46240
8,7,Charles Sturt University,Charles Sturt University - School of Policing Studies (Goulburn),"NSW Police Force College, McDermott Drive, Goulburn NSW 2580","NSW Police Force College, McDermott Drive",Goulburn,NSW,2580,-34.733796,149.730114,0xE6100000010C04E78C28ED5D41C08FC2F5285CB76240
9,1,University of Wollongong,University of Wollongong - Main campus (Wollongong) ,"Northfields Avenue, Wollongong NSW 2522",Northfields Avenue,Wollongong ,NSW,2522,-34.408211,150.879272,0xE6100000010C151DC9E53F3441C0E3A59BC420DC6240
9,2,University of Wollongong,University of Wollongong - Innovation campus ,"Cowper Street, North Wollongong NSW 2519",Cowper Street,Wollongong ,NSW,2519,-34.399066,150.898962,0xE6100000010CB3EA73B5153341C054E3A59BC4DC6240
9,3,University of Wollongong,University of Wollongong - Shoalhaven campus,"George Evans Road, Mundamia NSW 2540",George Evans Road,Mundamia,NSW,2540,-34.887623,150.567524,0xE6100000010CFDF675E09C7141C01904560E2DD26240
9,4,University of Wollongong,University of Wollongong - Southern Sydney campus (Loftus),"1 Pitt Street, Loftus NSW 2232",1 Pitt Street,Loftus,NSW,2232,-34.040653,151.052922,0xE6100000010C3E7958A8350541C004560E2DB2E16240
9,5,University of Wollongong,University of Wollongong - Moss Vale Education Centre,"Kirkham Street, Moss Vale NSW 2577",Kirkham Street,Moss Vale,NSW,2577,-34.554498,150.375555,0xE6100000010CE5D022DBF94641C079E9263108CC6240
9,6,University of Wollongong,University of Wollongong - Bega Education Centre,"176 Auckland Street, Bega NSW 2550",176 Auckland Street,Bega,NSW,2550,-36.6778,149.840089,0xE6100000010C499D8026C25642C07B14AE47E1BA6240
9,7,University of Wollongong,University of Wollongong - Batemans Bay Education Centre,"Beach Road, Batemans Bay NSW 2536",Beach Road,Batemans Bay,NSW,2536,-35.721378,150.192482,0xE6100000010CCEAACFD556DC41C0A01A2FDD24C66240
10,1,University of Western Sydney,University of Western Sydney - Bankstown campus,"Bullecourt Avenue, Milperra NSW 2214",Bullecourt Avenue,Milperra,NSW,2214,-33.940171,150.990882,0xE6100000010C7FD93D7958F840C0C1CAA145B6DF6240
10,2,University of Western Sydney,University of Western Sydney - Blacktown campus (Nirimba Education Precinct),"Eastern Road, Quakers Hill NSW 2763",Eastern Road,Quakers Hill,NSW,2763,-33.724304,150.877368,0xE6100000010C143FC6DCB5DC40C0F2D24D6210DC6240
10,3,University of Western Sydney,University of Western Sydney - Campbelltown campus,"Narellan Road, Campbelltown NSW 2560",Narellan Road,Campbelltown,NSW,2560,-34.069516,150.79105,0xE6100000010C37894160E50841C05A643BDF4FD96240
