UID,lat,lon,article_name,year
1,-27.436001,153.09,A saddle tree,1972
2,-37.960999,145.188,An evaporative air conditioner,1973
3,-34.931,138.61099,A bottle,1973
4,-37.925999,145.095,A measuring cup,1973
5,-37.800999,144.987,a submersible pump,1973
6,-33.880001,151.188,Handkerchiefs,1973
7,-33.880001,151.188,handkerchiefs,1973
8,-37.842999,145.11301,Tile holding device,1973
9,-31.982,115.755,Games board,1973
10,-27.466,153.028,A boat hull,1973
11,-33.798,150.94,a Bottle,1973
12,-33.798,150.94,Bottle,1973
13,-34.924999,138.60201,Combined envelope and note,1973
14,-34.924999,138.60201,Combined envelope and note,1973
15,-34.924999,138.60201,Combined envelope and note,1973
16,-37.757,145.104,Garment for infants and/or incontinent patients,1973
17,-38.023998,145.213,Tile staple,1973
18,-33.862,151.274,A plow tool,1973
19,-33.880001,151.188,Handkerchiefs,1973
20,-33.880001,151.188,Handkerchiefs,1973
21,-33.880001,151.188,Handkerchiefs,1973
22,-33.880001,151.188,Handkerchiefs,1973
23,-37.771,145.116,Metal section,1973
24,-33.907001,151.192,Blind rivet assembly,1973
25,-31.997999,115.928,A metal section,1973
26,-33.944,151.10001,Furniture insert,1973
27,-33.875999,151.209,Colostomy appliance ring with four pointed studs,1973
28,-31.955999,115.9,Butterfly for sprinkler,1973
29,-34.865002,138.535,A wheel,1973
30,-33.900002,151.209,Holding bracket for fire extinguisher,1973
31,-42.902,147.33701,An article of furniture for use in the manner of a gaming table,1973
32,-27.462999,153.024,Hook,1973
33,-27.462999,153.024,Glass and toothbrush holder,1973
34,-27.462999,153.024,Towel rail,1973
35,-27.462999,153.024,Towel ring,1973
36,-27.462999,153.024,Toilet roll holder,1973
37,-27.462999,153.024,Bathroom shelf,1973
38,-27.462999,153.024,Soap holder,1973
39,-31.972,115.959,A core tray,1973
40,-31.972,115.959,A core tray,1973
41,-33.964001,151.064,Binder suspension housing unit,1973
42,-33.964001,151.064,Mobile binder storage unit,1973
43,-33.964001,151.064,Claw type suspension bar,1973
44,-33.964001,151.064,T bar type suspension spine,1973
45,-33.834999,151.019,Roll over seat,1973
46,-24.865999,152.349,A bottle,1973
47,-24.865999,152.349,A bottle,1973
48,-37.842999,145.11301,Tile holding device,1973
49,-38.154999,145.131,A can end,1973
50,-33.862,151.274,Plow shank,1973
51,-34.924999,138.60201,Combined envelope and note,1973
52,-34.034,150.83701,Plug top,1973
53,-37.943001,145.06799,Eye goggles,1973
54,-33.901001,151.21001,Manhole covers,1973
55,-33.817001,151.246,A money box,1973
56,-33.817001,151.246,A money box,1973
57,-33.900002,151.209,Cutter assembly for pierceable-valve fire extinguishers,1973
58,-33.879002,151.224,A goblet,1973
59,-33.880001,151.188,Scarves,1973
60,-33.764999,151.175,Digging Tooth,1973
61,-27.437,153.089,A lawn mower,1974
62,-33.884998,151.217,Poster Stand,1974
63,-33.884998,151.217,Poster stand,1974
64,-34.985001,138.57401,A chair,1974
65,-34.985001,138.57401,A chair,1974
66,-34.985001,138.57401,A set of furniture comprising a chair and ottoman,1974
67,-37.999001,145.106,A Bottle Crate,1974
68,-34.476002,150.838,A cast or mould for a decoration,1974
69,-34.476002,150.838,A castor mould for a decoration,1974
70,-34.476002,150.838,A cast or mould for a decoration,1974
71,-34.423,150.896,A cast or mould for a decoration,1974
72,-34.423,150.896,A cast or mould for a decoration,1974
73,-34.423,150.896,A cast or mould for a decoration,1974
74,-34.423,150.896,A cast or mould for a decoration,1974
75,-34.476002,150.838,A cast or mould for a decoration,1974
76,-34.423,150.896,A cast or mould for a decoration,1974
77,-34.423,150.896,A cast or mould for a decoration,1974
78,-34.476002,150.838,A cast or mould for a decoration,1974
79,-34.423,150.896,A cast or mould for a decoration,1974
80,-34.423,150.896,A cast or mould for a decoration,1974
81,-34.476002,150.838,A cast or mould for a decoration,1974
82,-34.476002,150.838,A cast or mould for a decoration,1974
83,-34.423,150.896,A cast or mould for a decoration,1974
84,-34.423,150.896,A cast or mould for a decoration,1974
85,-34.476002,150.838,A cast or mould for a decoration,1974
86,-34.476002,150.838,A cast or mould for a decoration,1974
87,-34.423,150.896,A cast or mould for a decoration,1974
88,-34.423,150.896,A cast or mould for a decoration,1974
89,-37.821999,145.032,Container,1974
90,-37.872002,144.991,A table/bar/buffet,1974
91,-37.717999,145.13901,Curtain ring,1974
92,-37.801998,145.056,A compendium,1974
93,-37.791,145.03799,A compendium,1974
94,-37.801998,145.056,A compendium,1974
95,-37.791,145.03799,A compendium,1974
96,-37.806999,144.989,Wall cladding sheet,1974
97,-32.132999,116.02,Concrete pipe,1974
98,-33.749001,150.91,A stacking pad,1974
99,-37.827,144.963,Back plate and diffuser support for light fitting,1974
100,-37.806999,144.989,Wall cladding sheet,1974
101,-31.908001,116.165,Sheep ear tag,1974
102,-32.056,115.787,A backrest and pillow rest for hospital beds,1974
103,-32.056,115.787,a Orthopaedic Bed,1974
104,-32.056,115.787,a bedside/study table,1974
105,-37.776001,144.989,cooling tower pack,1974
106,-37.816002,144.957,a container,1974
107,-37.997002,145.084,a pavement slab or stone,1974
108,-33.935001,151.032,A moulded seat and backrest,1974
109,-37.816002,144.97099,A tyre for a vehicle wheel,1974
110,-33.880001,151.188,Tea towels,1974
111,-33.880001,151.188,Tablecloths,1974
112,-33.880001,151.188,Tablecloths,1974
113,-33.901001,151.21001,Gully grate,1974
114,-34.948002,138.601,Sectional screen,1974
115,-37.858002,145.11099,Motor Mower Blade,1974
116,-33.908001,151.181,Stacking nesting crate,1974
117,-37.807999,144.96001,a fascis plate,1974
118,-37.807999,144.96001,a fascia plate,1974
119,-37.925999,145.095,a set of knife fork and spoons,1974
120,-37.925999,145.095,egg cup,1974
121,-33.900002,151.209,Extruded section for fire extinguisher valve,1974
122,-37.816002,144.957,a Closure having a step in the Skirt,1974
123,-32.132999,116.02,a leach drain,1974
124,-32.132999,116.02,a leach drain,1974
125,-37.823002,144.92101,vehicle wheel cover,1974
126,-37.816002,144.97099,a shoe,1974
127,-37.823002,144.92101,motor vehicle panel,1974
128,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
129,-37.823002,144.92101,Motor Vehicle panel,1974
130,-37.823002,144.92101,Motor vehicle panel,1974
131,-37.823002,144.92101,Motor vehicle panel,1974
132,-37.823002,144.92101,motor vehicle panel,1974
133,-37.823002,144.92101,motor vehicle panel,1974
134,-37.823002,144.92101,motor vehicle panel,1974
135,-37.823002,144.92101,motor vehicle panel,1974
136,-37.823002,144.92101,motor vehicle panel,1974
137,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
138,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
139,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
140,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
141,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
142,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
143,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
144,-37.823002,144.92101,"""Motor Vehicle Panel""",1974
145,-37.823002,144.92101,motor vehicle panel,1974
146,-37.823002,144.92101,motor vehicle panel,1974
147,-37.823002,144.92101,motor vehicle panel,1974
148,-37.823002,144.92101,motor vehicle panel,1974
149,-37.823002,144.92101,motor vehicle panel,1974
150,-37.823002,144.92101,motor vehicle panel,1974
151,-37.823002,144.92101,motor vehicle panel,1974
152,-37.823002,144.92101,motor vehicle panel,1974
153,-37.823002,144.92101,motor vehicle panel,1974
154,-37.823002,144.92101,Motor vehicle panel,1974
155,-37.823002,144.92101,Motor Vehicle Panel,1974
156,-35.360001,149.06599,"Display container for food stuffs including confectionery, lollies and chocolates",1974
157,-27.436001,153.09,A saddle tree,1974
158,-33.937,150.996,lawnmower cutting blade,1974
159,-33.937,150.996,Lawnmower cutting blade,1974
160,-33.937,150.996,Lawnmower cutter disc,1974
161,-33.937,150.996,Lawnmower cutter disc,1974
162,-42.832001,147.287,Skeletal Frame-Structure for a Portable Building,1974
163,-27.462999,153.024,Shower Shelf,1974
164,40.540001,-74.154999,A structural member,1974
165,-34.959999,138.54401,A container,1974
166,-37.806999,144.963,Outer Gimbal arrangement for a Gyroscope,1974
167,-31.952,115.816,Corner Protector,1974
168,-37.834,144.97099,Knife Handle,1974
169,-33.880001,151.188,tablecloths,1974
170,-34.862,138.64799,Woollen car seat cover,1974
171,-38.007999,145.097,rudder,1974
172,-33.882999,150.98399,Fence Panel,1974
173,-33.798,150.94,Deodoriser container,1974
174,-32.002998,115.799,A building Block,1974
175,-33.935001,151.032,frame for a chair,1975
