UID,lat,lon,applicant_type,application_year
1,-27.576,153.088,SME,2004
2,-33.891998,151.24699,SME,2005
3,-37.826,144.87601,Private applicant,2005
4,-37.82,145.16,SME,2005
5,-37.813999,144.97,SME,2005
6,-31.941999,115.852,SME,2005
7,-23.700001,133.879,SME,2005
8,-27.740999,153.237,SME,2005
9,-27.618999,153.02699,Private applicant,2005
10,-35.278999,149.146,Large firm,2005
11,-32.181,152.513,SME,2005
12,-27.485001,153.02699,SME,2005
13,-37.834,144.97301,SME,2005
14,-27.448999,153.02699,SME,2005
15,-27.502001,153.007,Large firm,2005
16,-33.957001,115.036,SME,2005
17,-28.070999,153.33099,Private applicant,2005
18,-33.824001,151.118,Private applicant,2004
19,-37.820999,144.967,SME,2005
20,-31.966,115.779,Private applicant,2005
21,-35.278999,149.146,Large firm,2005
22,-33.793999,151.276,SME,2005
23,-38.025002,145.22099,SME,2004
24,-37.799,144.95599,Large firm,2005
25,-27.579,153.09599,SME,2005
26,-37.787998,145.07201,Private applicant,2005
27,-37.787998,145.07201,Private applicant,2005
28,-38.369999,144.88,Private applicant,2005
29,-33.833,150.933,Private applicant,2005
30,-33.403,151.356,Private applicant,2005
31,-27.448999,153.02699,SME,2005
32,-33.832001,151.05499,SME,2005
33,-27.485001,153.02699,SME,2005
34,-37.851002,144.993,SME,2005
35,-28.091999,153.386,Private applicant,2005
36,-26.781,153.117,SME,2005
37,-33.842999,151.10699,SME,2005
38,-27.662001,152.759,Private applicant,2005
39,-27.396,153.133,SME,2005
40,-32.266998,148.621,SME,2005
41,-37.799999,144.965,Large firm,2005
42,-33.919998,151.228,Large firm,2005
43,-34.931999,138.60001,SME,2005
44,-33.855999,151.05299,SME,2003
45,-37.925999,145.12,SME,2005
46,-33.882999,151.17,Large firm,2005
47,-37.803001,144.97701,SME,2005
48,-37.827,145.02,SME,2005
49,-27.469999,153.03,SME,2005
50,-37.84,145.008,SME,2005
51,-16.899,145.71001,Private applicant,2003
52,-32.035999,115.99,Private applicant,2003
53,-37.757999,144.979,SME,2003
54,-38.021999,145.222,SME,2003
55,-37.943001,145.12801,Large firm,2003
56,-33.868,151.20599,Large firm,2003
57,-33.195,138.608,Private applicant,2003
58,-33.195,138.608,Private applicant,2003
59,-33.195,138.608,Private applicant,2003
60,-33.195,138.608,Private applicant,2003
61,-27.987,153.369,Private applicant,2003
62,-27.225,153.07401,Private applicant,2003
63,-33.830002,151.202,SME,2003
64,-33.441002,151.29601,Private applicant,2003
65,-33.441002,151.29601,Private applicant,2003
66,-33.441002,151.29601,Private applicant,2003
67,-37.292,144.955,Private applicant,2003
68,-27.468,153.02499,SME,2003
69,-38.168999,144.39799,Private applicant,2003
70,-38.176998,144.252,Private applicant,2003
71,-38.006001,145.25999,SME,2003
72,-37.952999,145.07201,Private applicant,2003
