year,device,count,Decade
1906,E,1,1900
1906,CIRCLE,4,1900
1906,DISC,5,1900
1906,DIVIDED,3,1900
1906,DRAGON,3,1900
1906,LEAF,3,1900
1906,CLOVER,2,1900
1906,WREATH,1,1900
1906,DIAMONDS,1,1900
1906,GEOMETRIC,1,1900
1906,THREE,2,1900
1906,IN,27,1900
1906,ROW,1,1900
1906,GARDEN,1,1900
1906,SCENE,1,1900
1906,WOMAN,8,1900
1906,SEATED,2,1900
1906,ARABESQUES,6,1900
1906,TRIPLE,1,1900
1906,BIRD,10,1900
1906,STYLISED,3,1900
1906,FLIGHT,2,1900
1906,CHARIOT,2,1900
1906,MAN,14,1900
1906,DRIVING,1,1900
1906,CORONET,7,1900
1906,POINTED,2,1900
1906,STEPPING,1,1900
1906,OVER,1,1900
1906,LARGE,1,1900
1906,SHOE,1,1900
1906,CRESCENT,4,1900
1906,MOON,4,1900
1906,STAR,27,1900
1906,HORSESHOE,4,1900
1906,BOW,4,1900
1906,LEAVES,8,1900
1906,SEAL,7,1900
1906,STATIONERY,5,1900
1906,CHURCH,1,1900
1906,SUN,3,1900
1906,RISING,3,1900
1906,CENTRAL,1,1900
1906,RECTANGLE,4,1900
1906,OF,1,1900
1906,PHOENIX,2,1900
1906,SILHOUETTE,2,1900
1906,EMU,3,1900
1906,FLAG,2,1900
1906,ANCHOR,10,1900
1906,KANGAROO,3,1900
1906,ROPE,3,1900
1906,WITH,12,1900
1906,BROWN,1,1900
1906,THREAD,2,1900
1906,FOUNTAIN,8,1900
1906,UNICORN,1,1900
1906,DOG,2,1900
1906,GRAMOPHONE,1,1900
1906,EAGLE,2,1900
1906,WINGS,3,1900
1906,OUTSTRETCHED,3,1900
1906,HOLDING,3,1900
1906,ARROWS,3,1900
1906,DIAMOND,9,1900
1906,BEARDED,5,1900
1906,WEARING,8,1900
1906,TURBAN,1,1900
1906,OUTSIDE,1,1900
1906,BUILDING,2,1900
1906,MOSQUE,1,1900
1906,LION,8,1900
1906,RIBBON,4,1900
1906,SPINNING-TOP,2,1900
1906,,13,1900
1906,TOY,1,1900
